Freq. [PHz]	Eps'	Eps''
1.42758313	2.36654417	0.00000000
1.37899015	2.34349080	0.00000000
1.33181900	2.32281652	0.00000000
1.28666291	2.30445081	0.00000000
1.24292064	2.28787440	0.00000000
1.20061056	2.27288667	0.00000000
1.15973872	2.25931250	0.00000000
1.12030067	2.24699866	0.00000000
1.08228324	2.23581060	0.00000000
1.04530146	2.22553140	0.00000000
1.00974220	2.21617791	0.00000000
0.97525198	2.20757619	0.00000000
0.94215103	2.19973521	0.00000000
0.91011675	2.19251526	0.00000000
0.87915677	2.18586660	0.00000000
0.84927042	2.17974258	0.00000000
0.82022560	2.17405671	0.00000000
0.79247279	2.16885907	0.00000000
0.76536242	2.16399549	0.00000000
0.73931556	2.15951445	0.00000000
0.71430178	2.15538168	0.00000000
0.68997113	2.15151638	0.00000000
0.66650169	2.14792717	0.00000000
0.64374588	2.14457289	0.00000000
0.62184704	2.14145742	0.00000000
0.60066612	2.13854485	0.00000000
0.58020603	2.13582146	0.00000000
0.56046449	2.13327372	0.00000000
0.54143482	2.13088841	0.00000000
0.52301545	2.12864179	0.00000000
0.50521142	2.12652453	0.00000000
0.48802288	2.12452723	0.00000000
0.47137179	2.12263221	0.00000000
0.45533484	2.12084000	0.00000000
0.43983635	2.11913440	0.00000000
0.42487593	2.11750817	0.00000000
0.41039351	2.11594807	0.00000000
0.39644599	2.11445382	0.00000000
0.38292561	2.11300777	0.00000000
0.36993146	2.11161473	0.00000000
0.35732117	2.11025383	0.00000000
0.34514444	2.10892498	0.00000000
0.33339909	2.10762273	0.00000000
0.32208042	2.10634158	0.00000000
0.31111712	2.10506844	0.00000000
0.30051369	2.10379863	0.00000000
0.29021535	2.10252019	0.00000000
0.28044196	2.10125635	0.00000000
0.27081523	2.09995301	0.00000000
0.26159900	2.09863987	0.00000000
0.25277610	2.09731122	0.00000000
0.24413067	2.09592866	0.00000000
0.23587133	2.09451976	0.00000000
0.22780582	2.09304607	0.00000000
0.22011194	2.09153451	0.00000000
0.21261876	2.08994607	0.00000000
0.20533730	2.08827397	0.00000000
0.19827544	2.08651088	0.00000000
0.19156068	2.08468377	0.00000000
0.18505707	2.08275099	0.00000000
0.17876712	2.08070405	0.00000000
0.17269151	2.07853399	0.00000000
0.16682941	2.07623133	0.00000000
0.16109213	2.07374671	0.00000000
0.15565548	2.07114716	0.00000000
0.15034727	2.06834141	0.00000000
0.14524828	2.06535689	0.00000000
0.14028660	2.06213610	0.00000000
0.13553004	2.05870734	0.00000000
0.13091374	2.05500792	0.00000000
0.12644136	2.05101699	0.00000000
0.12216482	2.04676428	0.00000000
0.11798208	2.04212311	0.00000000
0.11398953	2.03717414	0.00000000
0.11009639	2.03177780	0.00000000
0.10634709	2.02595759	0.00000000
0.10273902	2.01967987	0.00000000
0.09923617	2.01284008	0.00000000
0.09584158	2.00538819	0.00000000
0.09258569	1.99734384	0.00000000
0.08943689	1.98857854	0.00000000
0.08639552	1.97902495	0.00000000
0.08346115	1.96860794	0.00000000
0.08061104	1.95715064	0.00000000
0.07786817	1.94464021	0.00000000
0.07521135	1.93086405	0.00000000
0.07265935	1.91579041	0.00000000
0.07019257	1.89915899	0.00000000
0.06779567	1.88065603	0.00000000
0.06548546	1.86017257	0.00000000
0.06326070	1.83745133	0.00000000
0.06110731	1.81203131	0.00000000
0.05902588	1.78351313	0.00000000
0.05701644	1.75141547	0.00000000
0.05507853	1.71515274	0.00000000
0.05320186	1.67377878	0.00000000
0.05139593	1.62657475	0.00000000
0.04964273	1.57183630	0.00000000
0.04795145	1.50820219	0.00000000
0.04632146	1.43358876	0.00000000
0.04474514	1.34478676	0.00000000
